Name,Value,DataType
ControllerSetting.dev.collections.ADD.registration.limit,4000,Integer
ControllerSetting.dev.error.registration.limit,4000,Integer
ControllerSetting.dev.events.buffer.size,16,Integer
ControllerSetting.dev.memory.ADD.registration.limit,4000,Integer
ControllerSetting.dev.metric.registration.limit,100000,Integer
ControllerSetting.dev.metrics.buffer.size,64,Integer
ControllerSetting.dev.process.snapshots.buffer.size,16,Integer
ControllerSetting.dev.sep.ADD.registration.limit,4000,Integer
ControllerSetting.dev.snapshots.buffer.size,16,Integer
ControllerSetting.dev.stacktrace.ADD.registration.limit,4000,Integer
ControllerSetting.dev.tracked.object.ADD.registration.limit,4000,Integer
ControllerSetting.extra-large.application.custom.metric.registration.limit,6000000,Integer
ControllerSetting.extra-large.application.metric.registration.limit,15000000,Integer
ControllerSetting.extra-large.async.thread.tracking.registration.limit,80000,Integer
ControllerSetting.extra-large.backend.registration.limit,100000,Integer
ControllerSetting.extra-large.collections.ADD.registration.limit,3000000,Integer
ControllerSetting.extra-large.error.registration.limit,200000,Integer
ControllerSetting.extra-large.events.buffer.size,50,Integer
ControllerSetting.extra-large.memory.ADD.registration.limit,4000,Integer
ControllerSetting.extra-large.metric.registration.limit,100000000,Integer
ControllerSetting.extra-large.metrics.buffer.size,300,Integer
ControllerSetting.extra-large.process.snapshots.buffer.size,100,Integer
ControllerSetting.extra-large.sep.ADD.registration.limit,16000,Integer
ControllerSetting.extra-large.snapshots.buffer.size,200,Integer
ControllerSetting.extra-large.stacktrace.ADD.registration.limit,3000000,Integer
ControllerSetting.extra-large.tracked.object.ADD.registration.limit,4000,Integer
ControllerSetting.internal.application.custom.metric.registration.limit,10000,Integer
ControllerSetting.internal.application.metric.registration.limit,100000,Integer
ControllerSetting.internal.async.thread.tracking.registration.limit,1000,Integer
ControllerSetting.internal.backend.registration.limit,100000,Integer
ControllerSetting.internal.collections.ADD.registration.limit,4000,Integer
ControllerSetting.internal.error.registration.limit,4000,Integer
ControllerSetting.internal.events.buffer.size,16,Integer
ControllerSetting.internal.memory.ADD.registration.limit,4000,Integer
ControllerSetting.internal.metric.registration.limit,100000,Integer
ControllerSetting.internal.metrics.buffer.size,64,Integer
ControllerSetting.internal.process.snapshots.buffer.size,16,Integer
ControllerSetting.internal.sep.ADD.registration.limit,4000,Integer
ControllerSetting.internal.snapshots.buffer.size,16,Integer
ControllerSetting.internal.stacktrace.ADD.registration.limit,4000,Integer
ControllerSetting.internal.tracked.object.ADD.registration.limit,4000,Integer
ControllerSetting.large.application.custom.metric.registration.limit,2000000,Integer
ControllerSetting.large.application.metric.registration.limit,7000000,Integer
ControllerSetting.large.async.thread.tracking.registration.limit,4000,Integer
ControllerSetting.large.backend.registration.limit,100000,Integer
ControllerSetting.large.collections.ADD.registration.limit,2000000,Integer
ControllerSetting.large.error.registration.limit,100000,Integer
ControllerSetting.large.events.buffer.size,8,Integer
ControllerSetting.large.memory.ADD.registration.limit,4000,Integer
ControllerSetting.large.metric.registration.limit,50000000,Integer
ControllerSetting.large.metrics.buffer.size,300,Integer
ControllerSetting.large.process.snapshots.buffer.size,50,Integer
ControllerSetting.large.sep.ADD.registration.limit,12000,Integer
ControllerSetting.large.snapshots.buffer.size,50,Integer
ControllerSetting.large.stacktrace.ADD.registration.limit,2000000,Integer
ControllerSetting.large.tracked.object.ADD.registration.limit,4000,Integer
ControllerSetting.medium.application.custom.metric.registration.limit,1000000,Integer
ControllerSetting.medium.application.metric.registration.limit,1000000,Integer
ControllerSetting.medium.async.thread.tracking.registration.limit,2000,Integer
ControllerSetting.medium.backend.registration.limit,100000,Integer
ControllerSetting.medium.collections.ADD.registration.limit,4000,Integer
ControllerSetting.medium.error.registration.limit,16000,Integer
ControllerSetting.medium.events.buffer.size,10,Integer
ControllerSetting.medium.memory.ADD.registration.limit,4000,Integer
ControllerSetting.medium.metric.registration.limit,20000000,Integer
ControllerSetting.medium.metrics.buffer.size,500,Integer
ControllerSetting.medium.process.snapshots.buffer.size,40,Integer
ControllerSetting.medium.sep.ADD.registration.limit,8000,Integer
ControllerSetting.medium.snapshots.buffer.size,40,Integer
ControllerSetting.medium.stacktrace.ADD.registration.limit,300000,Integer
ControllerSetting.medium.tracked.object.ADD.registration.limit,4000,Integer
ControllerSetting.small.application.custom.metric.registration.limit,10000,Integer
ControllerSetting.small.application.metric.registration.limit,100000,Integer
ControllerSetting.small.async.thread.tracking.registration.limit,1000,Integer
ControllerSetting.small.backend.registration.limit,100000,Integer
ControllerSetting.small.collections.ADD.registration.limit,4000,Integer
ControllerSetting.small.error.registration.limit,4000,Integer
ControllerSetting.small.events.buffer.size,8,Integer
ControllerSetting.small.memory.ADD.registration.limit,4000,Integer
ControllerSetting.small.metric.registration.limit,100000,Integer
ControllerSetting.small.metrics.buffer.size,30,Integer
ControllerSetting.small.process.snapshots.buffer.size,10,Integer
ControllerSetting.small.sep.ADD.registration.limit,4000,Integer
ControllerSetting.small.snapshots.buffer.size,10,Integer
ControllerSetting.small.stacktrace.ADD.registration.limit,4000,Integer
ControllerSetting.small.tracked.object.ADD.registration.limit,4000,Integer
ControllerVersionGrade2,4.2,Version
ControllerVersionGrade3,4.3,Version
ControllerVersionGrade4,4.4,Version
NodeAvailabilityPercentageCritical,25,Decimal
NodeAvailabilityPercentageWarning,50,Decimal
NodeErrorPercentageCritical,80,Decimal
NodeErrorPercentageWarning,50,Decimal
TierAvailabilityPercentageCritical,10,Decimal
TierAvailabilityPercentageWarning,30,Decimal
TierErrorPercentageCritical,80,Decimal
TierErrorPercentageWarning,50,Decimal
